month,smb,hml,umd,rf,rm,rmrf
2005m6,0.01269048,0.0011983,0.0218024,0.0037737696,0.0339640413,0.03019027
2005m7,-0.00143623,0.00010317,-0.00079841,0.0036232148,0.0338606521,0.03023744
2005m8,0.00987087,0.00422921,0.01415034,0.0035813979,0.0116675408,0.00808614
2005m9,-0.01589987,-0.03027287,0.04695552,0.0035981244,0.0341708544,0.03057273
2005m10,-0.01330211,0.00705849,0.00320224,0.0036148511,-0.0288749173,-0.03248977
2005m11,0.05844373,-0.03394238,0.0494408,0.0035981244,0.0330338919,0.02943577
2005m12,0.00507809,-0.01241629,0.0164,0.0036148511,0.0393546602,0.03573981
2006m1,0.03010259,-0.01663434,0.04918086,0.0035981244,0.0291158131,0.02551769
2006m2,0.02469727,0.00405994,0.01087544,0.0035813979,0.012072289,0.00849089
2006m3,-0.01405826,0.00364311,0.02541699,0.0036064879,0.0379005803,0.03429409
2006m4,-0.01203978,-0.02481107,0.03264883,0.0036315782,0.0106563787,0.0070248
2006m5,0.00107348,0.00127272,-0.02754815,0.0036817612,-0.0478188691,-0.05150063
2006m6,-0.01109696,0.00815572,7.571e-05,0.0037068534,0.0200993247,0.01639247
